date,deces
2020-04-01,4032
2020-04-02,4503
2020-04-03,5091
2020-04-04,5532
2020-04-05,5889
2020-04-06,6494
2020-04-07,7091
2020-04-08,7632
2020-04-09,8044
2020-04-10,8598
2020-04-11,8943
2020-04-12,9253
2020-04-13,9588
2020-04-14,10129
2020-04-15,10643
2020-04-16,11060
2020-04-17,11478
2020-04-18,11842
2020-04-19,12069
2020-04-20,12513
2020-04-21,12900
2020-04-22,13236
2020-04-23,13547
2020-04-24,13852
2020-04-25,14050
2020-04-26,14202
2020-04-27,14497
2020-04-28,14810
2020-04-29,15053
2020-04-30,15244
2020-05-01,15369
2020-05-02,15487
2020-05-03,15583
2020-05-04,15826
2020-05-05,16060
2020-05-06,16237
2020-05-07,16386
2020-05-08,16497
2020-05-09,16573
2020-05-10,16642
2020-05-11,16820
2020-05-12,17003
2020-05-13,17101
2020-05-14,17224
2020-05-15,17342
2020-05-16,17412
2020-05-17,17466
2020-05-18,17589
2020-05-19,17714
2020-05-20,17812
2020-05-21,17870
2020-05-22,17944
2020-05-23,17987
2020-05-24,18022
2020-05-25,18112
2020-05-26,18195
2020-05-27,18260
2020-05-28,18326
2020-05-29,18387
2020-05-30,18444
2020-05-31,18475
2020-06-01,18506
2020-06-02,18590
2020-06-03,18671
2020-06-04,18715
2020-06-05,18761
2020-06-06,18792
2020-06-07,18805
2020-06-08,18859
2020-06-09,18912
2020-06-10,18935
2020-06-11,18962
2020-06-12,18990
2020-06-13,19014
2020-06-14,19023
2020-06-15,19052
2020-06-16,19090
2020-06-17,19118
2020-06-18,19146
2020-06-19,19160
2020-06-20,19176
2020-06-21,19183
2020-06-22,19206
2020-06-23,19232
2020-06-24,19243
2020-06-25,19264
2020-06-26,19290
2020-06-27,19290
2020-06-28,19290
2020-06-29,19325
2020-06-30,19346
2020-07-01,19364
2020-07-02,19378
2020-07-03,19396
2020-07-06,19423
2020-07-07,19457
2020-07-08,19489
2020-07-09,19503
2020-07-10,19528
2020-07-13,19553
2020-07-15,19579
2020-07-16,19597
2020-07-17,19611
2020-07-20,19636
2020-07-21,19649
2020-07-22,19656
2020-07-23,19666
2020-07-24,19676
2020-07-27,19693
2020-07-28,19708
2020-07-29,19723
2020-07-30,19739
2020-07-31,19750
2020-08-03,19779
2020-08-04,19790
2020-08-05,19799
2020-08-06,19806
2020-08-07,19818
2020-08-10,19834
2020-08-11,19849
2020-08-12,19866
2020-08-13,19883
2020-08-14,19901
2020-08-15,19904
2020-08-16,19905
2020-08-17,19924
2020-08-18,19940
2020-08-19,19957
2020-08-20,19969
2020-08-21,19992
2020-08-22,20001
2020-08-23,20002
2020-08-24,20017
2020-08-25,20038
2020-08-27,20070
2020-08-28,20089
2020-08-29,20095
2020-08-30,20099
2020-08-31,20128
2020-09-01,20147
2020-09-02,20172
2020-09-03,20192
